classification,avg_daily_pnl,median_daily_pnl,avg_win_rate,avg_trade_count,avg_trade_size
Extreme Fear,4619.4390530625005,218.377399,0.32965914590002776,133.75,6773.464125428701
Extreme Greed,5161.9226438650185,418.3198625,0.3863873398662182,76.03041825095058,5371.637181741856
Fear,5328.818161336508,107.89253199999999,0.36403251387116353,98.15396825396826,8975.928545864448
Greed,3318.100729862654,158.214922,0.3435587568848799,77.62808641975309,6427.866594360551
Neutral,3438.6188179521278,167.551743,0.35541409810875263,100.22872340425532,6963.694860853634
