,Account,date,daily_pnl,trade_count,avg_trade_size,total_fees,win_rate,long_ratio,classification,value,frequency_segment,consistency_segment,cum_pnl,rolling_max,drawdown
16,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,134600.00166666668,0.0,0.0,0.0,Neutral,47.0,Infrequent,Consistent,467832.61444699997,467832.61444699997,0.0
17,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,27178.041694915253,561.226533,0.5254237288135594,0.5254237288135594,Neutral,49.0,Frequent,Consistent,477984.736687,477984.736687,0.0
18,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,13233.776894977169,555.888761,0.4246575342465753,0.4246575342465753,Fear,25.0,Frequent,Consistent,593430.132225,593430.132225,0.0
19,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,24958.908545454546,137.273975,0.01818181818181818,0.01818181818181818,Extreme Fear,16.0,Frequent,Consistent,708717.132225,708717.132225,0.0
20,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,2985.797555555556,6.71802,0.8,0.8,Extreme Fear,20.0,Frequent,Consistent,718199.353666,718199.353666,0.0
21,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,8371.136099843994,268.294625,0.8424336973478939,0.8424336973478939,Fear,33.0,Frequent,Consistent,1252174.016569,1252174.016569,0.0
22,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,79640.0,39.819998,0.8,0.8,Neutral,45.0,Infrequent,Consistent,1292374.016569,1292374.016569,0.0
23,0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,21491.640322580646,66.62407,1.0,1.0,Fear,43.0,Frequent,Consistent,1600229.819979,1600229.819979,0.0
24,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,2469.9509090909087,34.68082399,0.8363636363636363,0.14545454545454545,Extreme Greed,84.0,Frequent,Consistent,11715.94323,11715.94323,0.0
25,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.06,0.0,0.0,0.0,Extreme Greed,81.0,Infrequent,Consistent,11715.94323,11715.94323,0.0
26,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,1426.8700000000001,1.31668822,0.0,1.0,Greed,72.0,Frequent,Consistent,11715.94323,11715.94323,0.0
27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,2001.101153846154,5.2028479999999995,0.9615384615384616,0.0,Extreme Greed,75.0,Infrequent,Consistent,15230.974295,15230.974295,0.0
28,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,1131.888695652174,1.4383267,0.0,1.0,Extreme Greed,78.0,Frequent,Consistent,15230.974295,15230.974295,0.0
29,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,852.88625,19.104602,0.984375,0.0,Extreme Greed,78.0,Frequent,Consistent,17748.76168,17748.76168,0.0
30,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,1913.523898305085,20.81460217,0.2542372881355932,0.7457627118644068,Extreme Greed,81.0,Frequent,Consistent,19361.927583,19361.927583,0.0
31,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.11,0.0,0.0,0.0,Extreme Greed,75.0,Infrequent,Consistent,19361.927583,19361.927583,0.0
32,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,10051.199411764705,119.60926,0.6176470588235294,0.38235294117647056,Greed,74.0,Frequent,Consistent,20607.446093000002,20607.446093000002,0.0
33,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,2845.9646153846156,61.51029,0.0,1.0,Greed,61.0,Infrequent,Consistent,20607.446093000002,20607.446093000002,0.0
34,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,2440.6282352941175,14.521732,1.0,0.0,Extreme Greed,75.0,Infrequent,Consistent,25100.678572,25100.678572,0.0
35,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,2154.3915384615384,89.144541,0.717948717948718,0.2564102564102564,Extreme Greed,77.0,Frequent,Consistent,26147.709564,26147.709564,0.0
36,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,2194.294758064516,124.96169717000001,0.6451612903225806,0.3467741935483871,Extreme Greed,77.0,Frequent,Consistent,30989.763881000003,30989.763881000003,0.0
37,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,1737.369557522124,108.05738221,0.584070796460177,0.415929203539823,Extreme Greed,75.0,Frequent,Consistent,32683.257046000002,32683.257046000002,0.0
38,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,2398.331666666667,24.25559825,0.07407407407407407,0.9259259259259259,Extreme Greed,75.0,Frequent,Consistent,36904.413445,36904.413445,0.0
39,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,1519.465681818182,1.05928092,0.0,1.0,Greed,71.0,Frequent,Consistent,36904.413445,36904.413445,0.0
40,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,1317.0667857142857,25.814472,1.0,0.0,Greed,72.0,Frequent,Consistent,43803.659277,43803.659277,0.0
41,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,1602.9452173913044,1.16815524,0.0,1.0,Greed,72.0,Frequent,Consistent,43803.659277,43803.659277,0.0
42,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,1474.6896363636365,28.387735,1.0,0.0,Greed,70.0,Frequent,Consistent,51176.144378000005,51176.144378000005,0.0
43,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,2094.719358974359,29.90369878,0.32051282051282054,0.6794871794871795,Greed,68.0,Frequent,Consistent,52338.146919000006,52338.146919000006,0.0
44,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,2792.42166344294,487.25693852,0.4506769825918762,0.5222437137330754,Greed,60.0,Frequent,Consistent,58690.599532,58690.599532,0.0
45,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,612.1092741935485,26.565471000000002,0.0,0.0,Neutral,47.0,Frequent,Consistent,46343.608703000005,58690.599532,-12346.990828999995
46,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,2687.4032704402516,149.553903,0.7987421383647799,0.1949685534591195,Neutral,46.0,Frequent,Consistent,46699.194103,58690.599532,-11991.405428999999
47,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,1641.2224999999999,34.19572673,0.325,0.675,Neutral,49.0,Frequent,Consistent,47829.043029,58690.599532,-10861.556503
48,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,82910.81,29.018782,0.0,0.0,Fear,25.0,Infrequent,Consistent,41008.273479,58690.599532,-17682.326052999997
49,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,1462.824423076923,1.35322108,0.0,1.0,Extreme Fear,16.0,Frequent,Consistent,41008.273479,58690.599532,-17682.326052999997
50,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,1999.099181818182,53.50649472,0.45454545454545453,0.5454545454545454,Fear,33.0,Frequent,Consistent,43489.175858,58690.599532,-15201.423673999998
51,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,65,1756.5103076923076,20.67737314,0.0,0.8461538461538461,Extreme Fear,15.0,Frequent,Consistent,40319.82039,58690.599532,-18370.779142
52,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,37,1499.4978378378378,1.26292469,0.0,1.0,Fear,34.0,Frequent,Consistent,40319.82039,58690.599532,-18370.779142
53,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,47,1225.1170212765958,20.153151,1.0,0.0,Fear,28.0,Frequent,Consistent,42418.840078,58690.599532,-16271.759454
54,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,65,2676.518153846154,22.11483517,0.8769230769230769,0.12307692307692308,Fear,27.0,Frequent,Consistent,43075.38082,58690.599532,-15615.218712000002
55,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,53,3326.2756603773582,41.25995296,0.9622641509433962,0.018867924528301886,Extreme Fear,20.0,Frequent,Consistent,42009.583237,58690.599532,-16681.016295
56,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,53,2184.328113207547,20.961068,0.9811320754716981,0.018867924528301886,Fear,34.0,Frequent,Consistent,43601.336508,58690.599532,-15089.263024
57,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,27,4259.311481481482,20.268314959999998,0.0,0.6296296296296297,Neutral,45.0,Infrequent,Consistent,41285.959317,58690.599532,-17404.640215
58,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,42,1460.115,1.54451693,0.0,1.0,Fear,44.0,Frequent,Consistent,41285.959317,58690.599532,-17404.640215
59,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,97,580.479381443299,19.707219000000002,0.0,0.0,Fear,26.0,Frequent,Consistent,36267.49287,58690.599532,-22423.106662
60,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,155,730.8744516129032,20.92763202,0.535483870967742,0.4645161290322581,Fear,34.0,Frequent,Consistent,36983.636819,58690.599532,-21706.962713
61,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,1,54768.6,0.456405,0.0,1.0,Fear,25.0,Infrequent,Consistent,36983.636819,58690.599532,-21706.962713
62,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,1,16.37,0.00035346,0.0,1.0,Fear,38.0,Infrequent,Consistent,36983.636819,58690.599532,-21706.962713
63,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,88,780.4484090909092,24.037758,0.011363636363636364,0.0,Fear,29.0,Frequent,Consistent,36887.651075,58690.599532,-21802.948457
64,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,125,730.92608,31.977951,0.16,0.48,Fear,30.0,Frequent,Consistent,36754.238705,58690.599532,-21936.360826999997
65,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,689,766.7829027576198,129.33009467,0.43686502177068215,0.4528301886792453,Fear,33.0,Frequent,Consistent,37706.173148,58690.599532,-20984.426384
66,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,411,552.0850851581508,51.02067149,0.7226277372262774,0.29683698296836986,Fear,32.0,Frequent,Consistent,38077.676148,58690.599532,-20612.923384
67,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,603,963.6022222222223,119.87578636,0.4129353233830846,0.4925373134328358,Fear,37.0,Frequent,Consistent,36185.086678,58690.599532,-22505.512854
68,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,97,887.6931958762888,30.137128,1.0,0.0,Fear,39.0,Frequent,Consistent,39619.775986,58690.599532,-19070.823546
69,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,568,2593.2515492957746,197.963062,0.5915492957746479,0.3855633802816901,Greed,72.0,Frequent,Consistent,42273.919136000004,58690.599532,-16416.680395999996
70,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,680,1679.7829852941175,188.105048,0.48970588235294116,0.5088235294117647,Greed,63.0,Frequent,Consistent,44141.172045,58690.599532,-14549.427487
71,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,330,3782.839757575757,197.03662328000001,0.12121212121212122,0.4909090909090909,Greed,60.0,Frequent,Consistent,46110.565255,58690.599532,-12580.034276999999
72,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,338,284.5678402366864,16.916102,0.0,0.0,Greed,65.0,Frequent,Consistent,41461.6942,58690.599532,-17228.905332000002
73,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,67,1435.3307462686569,0.267131,0.0,1.0,Greed,61.0,Frequent,Consistent,41461.6942,58690.599532,-17228.905332000002
74,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,83,1221.0467469879518,30.404024,1.0,0.0,Greed,56.0,Frequent,Consistent,46641.466945,58690.599532,-12049.132587
75,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,250,815.50576,31.0304917,0.324,0.676,Neutral,53.0,Frequent,Consistent,47885.320514,58690.599532,-10805.279018000001
76,0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,5,6070.2,10.197932,0.0,0.4,Neutral,52.0,Infrequent,Consistent,-1.0,-1.0,0.0
77,0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1,1584.35,0.53234,1.0,0.0,Extreme Greed,78.0,Infrequent,Consistent,1583.342755,1583.342755,0.0
78,0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,4,39530.9875,34.129711,0.75,0.75,Extreme Greed,84.0,Infrequent,Consistent,1792.1602149999999,1792.1602149999999,0.0
79,0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,797,6131.710464240904,1181.135135,0.37641154328732745,0.3450439146800502,Extreme Fear,18.0,Frequent,Consistent,18499.045127,18499.045127,0.0
80,0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,339,21898.95651917404,2463.061921,0.5575221238938053,0.6814159292035398,Fear,39.0,Frequent,Consistent,31763.088431,31763.088431,0.0
81,0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,313,8678.024504792333,720.081313,0.12779552715654952,0.12779552715654952,Fear,32.0,Frequent,Consistent,37705.635673,37705.635673,0.0
82,0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,863,3079.8473348783314,615.664567,0.49130938586326767,0.4843568945538818,Fear,37.0,Frequent,Consistent,45982.943029999995,45982.943029999995,0.0
83,0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,353,1965.9329745042492,118.03440499999999,0.17280453257790368,0.17280453257790368,Fear,39.0,Frequent,Consistent,48620.955617,48620.955617,0.0
84,0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,594,8110.89095959596,1377.855618,0.0,0.39225589225589225,Neutral,47.0,Frequent,Consistent,29583.615056,48620.955617,-19037.340561
85,0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,469,20030.785479744136,2487.052566,0.14072494669509594,0.5031982942430704,Greed,72.0,Frequent,Consistent,-78593.303644,48620.955617,-127214.259261
86,0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,70,15603.565285714287,273.237342,0.9428571428571428,0.9571428571428572,Greed,63.0,Frequent,Consistent,-70436.191318,48620.955617,-119057.146935
87,0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,1,0.17,0.0,0.0,0.0,Greed,60.0,Infrequent,Consistent,-70436.191318,48620.955617,-119057.146935
88,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,93,373.7049462365591,10.268876,0.17204301075268819,0.5268817204301075,Extreme Greed,86.0,Frequent,Consistent,159.100072,159.100072,0.0
89,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,95,353.5228421052631,10.251629,0.35789473684210527,0.47368421052631576,Extreme Greed,90.0,Frequent,Consistent,320.38997600000005,320.38997600000005,0.0
90,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,162,666.941975308642,37.465806,0.41358024691358025,0.4382716049382716,Extreme Greed,83.0,Frequent,Consistent,467.800261,467.800261,0.0
