,precision,recall,f1-score,support
0,1.0,0.00510204081632653,0.01015228426395939,196.0
1,0.5833333333333334,1.0,0.7368421052631579,273.0
accuracy,0.5842217484008528,0.5842217484008528,0.5842217484008528,0.5842217484008528
macro avg,0.7916666666666667,0.5025510204081632,0.37349719476355864,469.0
weighted avg,0.7574626865671642,0.5842217484008528,0.43315083678588084,469.0
